FECHA_CORTE,UBIGEO, CUNAMAS - Cuidado Diurno , CUNAMAS - Acompa?miento de Familias , JUNTOS - Hogares afiliados , JUNTOS - Hogares abonados ,FONCODES - N? usuarios estimados,FONCODES - N? proy. Culminados,FONCODES - N? proy. en ejecucion ,FONCODES - N? Hog. Haku Winay -proyectos en ejecucion,FONCODES - N? Hog. Haku Winay -proyectos culminados, PENSION 65 - Usuarios , QALI WARMA - N? de Ni?s y ni?s atendidos , QALI WARMA - N? de IIEE  , CONTIGO - Usuarios , PAIS - N? de Tambos prestando servicios  , PAIS - N? de Atenciones realizadas a trav? de los Tambos  , PAIS - N? de Beneficiarios atendidos a traves de los Tambos  
20240831,20205,,,45,42,,,,,,117,77,7,9,,,
20240831,20301,0,71,216,212,,,,,,257,510,20,27,,,
20240831,20302,0,88,182,182,,,,,,150,363,17,23,,,
20240831,20303,0,40,120,120,,,,,,179,273,9,8,1,1968,608
20240831,20304,0,85,172,166,,,,,,147,498,15,8,,,
20240831,20305,0,180,478,468,0,2,,0,830,433,"1,073",42,20,1,1833,656
20240831,20306,0,60,138,138,,,,,,105,226,10,4,,,
20240831,20401,0,89,104,105,,,,,,520,695,28,66,,,
20240831,20402,0,80,233,233,,,,,,405,574,29,67,,,
20240831,20501,63,0,49,46,,,,,,308,531,10,23,,,
20240831,20502,,,4,3,,,,,,10,29,2,,1,293,135
20240831,20503,0,20,65,65,,,,,,164,133,11,25,,,
20240831,20504,,,27,27,,,,,,189,303,17,18,,,
20240831,20505,0,29,22,22,,,,,,103,223,11,23,,,
20240831,20506,,,7,7,,,,,,22,18,2,1,,,
20240831,20507,0,40,36,34,,,,,,190,288,12,13,,,
20240831,20508,88,0,107,104,,,,,,350,"1,209",22,25,,,
20240831,20509,,,31,28,,,,,,220,210,17,10,,,
20240831,20510,,,64,64,,,,,,148,134,13,7,,,
20240831,20511,,,15,14,,,,,,42,26,4,,,,
20240831,20512,,,23,23,,,,,,90,46,4,2,,,
20240831,20513,,,61,61,,,,,,159,103,4,7,,,
20240831,20514,,,12,11,,,,,,44,23,3,1,,,
20240831,20515,,,36,36,,,,,,86,58,4,2,1,1399,288
20240831,20601,16,217,258,255,,,,0,547,951,"2,567",49,92,,,
20240831,20602,0,90,43,41,,,,,,168,328,8,29,,,
20240831,20603,0,49,53,52,,,,,,197,116,8,8,,,
20240831,20604,12,40,180,175,,,,,,224,305,14,24,,,
20240831,20605,0,50,94,94,,,,,,147,295,10,11,,,
20240831,20606,84,213,635,627,,,,0,800,800,"2,023",32,80,,,
20240831,20607,0,54,94,94,,,,,,132,180,7,12,,,
20240831,20608,0,66,228,229,,,,0,400,285,410,12,32,,,
20240831,20609,0,98,159,161,"1,640",,2,400,421,336,398,11,28,,,
20240831,20610,20,80,80,80,,,,,,239,303,8,31,,,
20240831,20611,0,118,248,245,,,,,,200,693,14,51,,,
20240831,20701,0,239,899,898,,,,0,"1,205",998,"2,155",70,103,,,
20240831,20702,,,355,352,,,,,,331,591,29,34,,,
20240831,20703,0,160,444,445,,,,,,538,922,28,68,,,
20240831,20801,104,6,617,575,,,,,,745,"5,925",43,187,,,
20240831,20802,0,5,286,288,,,,,,366,799,20,41,,,
20240831,20803,0,14,52,48,,,,,,84,251,9,19,,,
20240831,20804,0,101,663,645,,,,,,699,"2,126",30,51,,,
20240831,20901,,,100,97,,,,,,162,378,10,12,,,
20240831,20902,0,22,29,29,,,,0,115,70,55,4,3,,,
20240831,20903,,,35,35,820,,1,200,0,28,78,5,,,,
20240831,20904,0,58,89,89,,,,0,285,180,587,25,26,,,
20240831,20905,,,57,56,820,,1,200,0,111,291,7,14,,,
20240831,20906,,,55,55,820,,1,200,0,75,89,7,8,,,
20240831,20907,,,7,7,820,,1,200,0,31,64,2,8,,,
20240831,21001,86,81,324,319,,,,,,886,"1,692",34,61,,,
20240831,21002,0,57,140,140,,,,,,197,295,11,12,,,
20240831,21003,18,85,317,312,,,,,,260,491,23,21,,,
20240831,21004,17,206,867,860,,,,,,730,"2,346",59,143,,,
20240831,21005,0,57,174,173,,,,,,185,435,17,17,,,
20240831,21006,,,131,130,,,,,,197,332,14,9,,,
20240831,21007,0,112,327,324,,,,,,332,701,32,19,,,
20240831,21008,0,82,221,220,,,,,,311,474,18,21,,,
20240831,21009,0,74,105,105,,,,,,210,301,13,16,,,
20240831,21010,,,141,139,,,,,,197,260,11,7,,,
20240831,21011,0,97,208,207,,,,,,335,620,26,27,,,
20240831,21012,,,30,30,,,,,,42,139,4,1,,,
20240831,21013,,,136,133,,,,,,152,245,11,15,,,
20240831,21014,70,237,971,965,,,,,,"1,115","3,539",67,166,,,
20240831,21015,0,146,240,238,,,,,,249,643,17,20,,,
20240831,21016,,,31,29,,,,,,166,202,13,14,,,
20240831,21101,96,52,507,460,,,,,,361,"3,768",41,110,,,
20240831,21102,,,69,69,,,,0,160,109,135,15,,,,
20240831,21103,0,17,48,48,,,,,,121,474,15,26,,,
20240831,21104,0,14,41,40,,,,,,86,252,7,4,,,
20240831,21105,0,16,31,30,,,,0,240,138,82,10,9,,,
20240831,21201,142,340,831,814,,,,0,412,"1,166","5,355",64,154,1,517,451
20240831,21202,,,35,34,,,,,,97,96,9,5,,,
20240831,21203,0,45,130,129,,,,,,146,203,9,7,,,
20240831,21204,,,106,106,,,,0,400,220,168,7,17,,,
20240831,21205,0,69,134,134,,,,,,200,390,12,10,,,
20240831,21206,0,326,951,939,,,,0,835,830,"1,802",76,21,1,1681,325
20240831,21207,0,267,594,592,"1,230",,2,300,"1,007",631,"1,318",39,76,,,
20240831,21208,0,226,415,413,,,,0,400,423,871,20,38,1,1186,847
20240831,21209,0,43,89,89,,,,,,169,183,9,8,,,
20240831,21210,0,65,277,274,,,,,,187,430,13,18,,,
20240831,21301,0,90,99,97,,,,,,278,550,15,40,,,
20240831,21302,0,134,456,454,"1,640",,2,400,0,458,756,29,20,,,
20240831,21303,0,47,150,149,,,,,,133,318,9,26,,,
20240831,21304,0,78,227,226,"1,640",,2,400,0,178,300,24,7,,,
20240831,21305,0,44,93,93,,,,,,158,216,11,20,1,537,416
20240831,21306,0,256,750,750,,,,0,433,455,"1,447",40,118,,,
20240831,21307,0,100,309,309,"1,640",,2,400,0,304,480,18,27,1,3565,409
20240831,21308,0,13,22,21,,,,,,85,78,8,20,,,
20240831,21401,,,53,52,,,,,,99,162,6,19,,,
20240831,21402,,,12,12,,,,,,63,61,4,8,,,
20240831,21403,,,2,2,,,,,,18,35,3,5,,,
20240831,21404,,,5,5,,,,,,66,30,4,3,,,
20240831,21405,,,114,110,,,,,,111,198,14,7,,,
20240831,21406,,,9,9,,,,,,121,112,9,8,,,
20240831,21407,,,4,4,,,,,,23,20,2,4,,,
20240831,21408,,,12,12,,,,,,61,32,3,1,,,
20240831,21409,,,9,9,,,,,,66,147,9,7,,,
20240831,21410,,,22,21,,,,,,50,47,6,1,,,
20240831,21501,0,90,109,109,,,,,,123,698,14,12,,,
20240831,21502,0,30,28,28,820,,1,200,0,98,231,12,5,,,
20240831,21503,0,310,913,900,,,,0,466,524,"2,381",47,24,,,
20240831,21504,0,30,41,41,,,,,,54,101,4,3,,,
20240831,21505,0,30,22,20,820,,1,200,0,36,197,7,3,,,
20240831,21506,,,41,39,,,,,,58,97,9,5,,,
20240831,21507,,,36,36,,,,,,34,77,2,,,,
20240831,21508,0,99,207,204,820,,2,400,0,243,543,18,6,,,
20240831,21509,0,148,309,303,,,,0,799,319,957,36,26,,,
20240831,21510,,,36,36,,,,,,32,156,11,5,,,
20240831,21511,0,99,170,167,"1,640",,2,400,0,172,465,20,13,,,
20240831,21601,92,448,"1,420","1,411",,,,0,400,"1,186","3,520",90,148,2,990,443
20240831,21602,12,91,342,343,,,,,,308,673,32,35,,,
20240831,21603,0,237,690,687,,,,0,900,706,"1,376",50,109,1,90,66
20240831,21604,0,100,316,314,,,,,,203,365,20,56,1,933,515
20240831,21701,48,73,236,237,,,,,,460,659,26,47,1,"1,203",495
20240831,21702,20,80,142,140,,,,,,242,283,16,52,,,
20240831,21703,,,6,5,,,,,,36,60,2,15,,,
20240831,21704,0,19,38,36,,,,,,139,62,6,4,1,213,153
20240831,21705,0,30,58,57,,,,,,126,122,7,14,,,
20240831,21706,0,20,10,10,,,,,,161,48,3,8,,,
20240831,21707,0,20,35,35,,,,,,103,88,8,5,,,
20240831,21708,0,71,64,63,,,,,,146,211,13,4,1,459,160
20240831,21709,,,28,28,,,,,,68,50,3,7,,,
20240831,21710,12,41,95,94,,,,,,186,369,18,40,,,
20240831,21801,706,150,"1,316",1162,,,,,,976,"23,379",155,247,,,
20240831,21802,0,166,248,241,,,,0,430,351,"1,036",57,36,,,
20240831,21803,100,0,205,179,,,,,,79,1866,10,31,,,
20240831,21804,0,109,217,213,,,,0,429,136,577,65,10,,,
20240831,21805,78,108,144,138,,,,,,351,"1,530",40,54,,,
20240831,21806,84,0,188,178,,,,,,125,"2,220",21,16,,,
20240831,21807,,,110,107,,,,,,55,"1,138",14,23,,,
20240831,21808,156,0,376,352,,,,,,299,"4,167",37,184,,,
20240831,21809,675,0,"1,270",1151,,,,,,640,"17,909",108,271,,,
20240831,21901,83,0,122,123,,,,,,344,"1,152",29,45,,,
20240831,21902,0,57,157,156,"1,640",,2,400,0,128,568,11,7,,,
20240831,21903,0,4,38,37,,,,,,51,73,9,1,,,
20240831,21904,0,91,182,180,,,,,,300,442,18,16,,,
20240831,21905,0,56,87,85,,,,,,92,167,9,10,,,
20240831,21906,0,83,380,376,,,,,,400,773,28,23,,,
20240831,21907,0,86,222,221,,,,,,216,412,16,29,,,
20240831,21908,0,105,213,210,,,,,,243,358,27,22,,,
20240831,21909,15,327,963,959,"1,640",,2,400,0,625,"1,321",66,134,,,
20240831,21910,0,64,130,129,,,,,,161,210,10,16,,,
20240831,22001,97,207,502,498,,,,,,"1,729","4,782",85,124,,,
20240831,22002,0,30,151,151,"2,050",,2,500,0,159,377,16,14,,,
20240831,22003,0,81,117,117,,,,,,678,"1,222",30,60,,,
20240831,22004,0,20,64,64,,,,,,76,249,7,11,,,
20240831,22005,0,437,"1,377","1,362",,,,0,"1,694",826,"2,865",91,62,,,
20240831,22006,20,50,198,197,,,,,,210,595,14,30,,,
20240831,22007,0,40,160,155,,,,,,161,288,21,2,,,
20240831,22008,0,170,559,564,,,,0,900,588,"1,088",40,80,,,
20240831,30101,659,264,"1,584","1,471",,,,,,"1,647","11,779",87,357,1,688,242
20240831,30102,28,8,102,97,,,,,,167,275,6,20,,,
20240831,30103,0,15,84,84,0,2,,0,400,385,136,22,38,2,1482,604
20240831,30104,235,241,"1,195","1,176",,,,0,443,"1,419","2,964",80,173,2,"1,496",869
20240831,30105,0,116,272,267,,,,0,417,415,540,27,68,1,423,240
20240831,30106,0,58,136,136,,,,0,413,579,338,23,69,1,766,244
20240831,30107,0,71,281,276,0,2,,0,400,549,327,30,60,,,
20240831,30108,31,21,198,201,0,2,,0,400,337,550,16,27,,,
20240831,30109,196,1,204,197,,,,,,443,"1,170",20,79,,,
20240831,30201,676,903,"1,684","1,622",,,,,,"1,446","7,767",76,134,,,
20240831,30202,0,236,719,711,"1,722",,2,420,0,854,"1,061",41,112,,,
20240831,30203,0,42,100,99,,,,,,156,164,8,3,,,
20240831,30204,80,79,442,438,,,,0,811,554,865,38,65,,,
20240831,30205,60,76,422,411,"2,050",,2,500,0,539,903,32,97,1,634,334
20240831,30206,0,14,94,93,,,,0,200,104,109,6,4,,,
20240831,30207,92,153,698,690,0,2,,0,400,528,"1,192",45,94,1,256,211
20240831,30208,64,80,327,321,,,,0,832,468,584,28,48,,,
20240831,30209,100,156,708,701,,,,,,"1,013","1,142",40,222,,,
20240831,30210,0,116,267,263,0,2,,0,440,225,595,25,35,,,
20240831,30211,0,42,94,93,820,,2,320,0,104,106,4,15,,,
20240831,30212,0,109,282,275,"1,640",,2,400,306,309,351,23,32,1,535,397
20240831,30213,288,508,"1,286","1,262",,,,,,"1,152","5,258",59,194,,,
20240831,30214,0,98,241,238,"1,107",,2,539,0,195,439,15,31,1,215,128
20240831,30215,100,284,654,634,"1,640",,2,400,0,954,"1,878",44,89,,,
20240831,30216,204,639,"1,142","1,123",,,,,,"1,356","4,710",70,105,,,
20240831,30217,0,54,189,187,,,,0,200,212,258,19,25,1,482,271
20240831,30218,56,103,442,438,,,,,,541,576,24,48,,,
20240831,30219,0,36,132,132,"1,640",,2,400,0,322,297,11,31,,,
20240831,30220,0,113,545,544,,,,0,400,227,863,17,29,,,
20240831,30301,47,0,281,275,,,,,,327,482,18,77,1,1888,641
20240831,30302,0,25,40,40,,,,,,52,85,3,17,,,
20240831,30303,0,50,161,158,,,,,,153,414,11,42,,,
20240831,30304,0,48,161,161,,,,0,400,263,299,12,48,1,494,224
20240831,30305,54,0,253,246,,,,,,193,625,13,19,,,
20240831,30306,0,45,90,86,,,,,,105,157,7,37,,,
20240831,30307,0,38,130,127,,,,0,448,179,165,9,43,1,457,231
20240831,30401,86,62,192,183,,,,,,242,905,17,46,,,
20240831,30402,0,13,43,43,,,,0,224,54,66,7,5,,,
20240831,30403,0,27,73,73,,,,,,148,110,4,10,,,
20240831,30404,0,112,181,181,,,,0,425,295,307,12,43,1,233,133
20240831,30405,0,9,63,64,,,,0,195,98,75,3,6,,,
20240831,30406,0,123,151,149,,,,0,536,246,617,19,23,,,
20240831,30407,0,4,22,21,,,,,,72,36,4,3,,,
20240831,30408,0,12,72,68,,,,,,113,95,10,10,,,
20240831,30409,0,86,177,174,,,,0,400,269,272,15,26,,,
20240831,30410,0,18,93,91,,,,0,400,174,114,8,26,,,
20240831,30411,0,29,72,70,,,,,,94,113,5,19,,,
20240831,30412,0,28,77,76,,,,0,224,156,106,7,12,,,
20240831,30413,0,10,76,76,,,,,,111,95,4,10,1,312,218
20240831,30414,0,74,188,182,"1,640",,2,400,0,240,272,18,27,1,423,246
20240831,30415,0,38,203,199,,,,,,415,449,13,43,,,
20240831,30416,0,57,105,102,,,,0,295,210,229,12,19,,,
20240831,30417,0,49,83,82,,,,,,178,108,7,15,1,966,529
20240831,30501,0,509,"1,242","1,203",,,,0,470,808,"2,867",79,114,1,305,181
20240831,30502,0,157,434,432,,,,0,369,485,635,28,48,2,880,519
20240831,30503,0,404,858,838,,,,0,974,650,"1,931",52,61,1,352,233
20240831,30504,0,230,991,963,,,,0,800,"1,103","2,315",70,80,1,423,205
20240831,30505,0,338,752,732,,,,0,450,635,"1,496",54,92,2,"1,999",720
20240831,30506,22,421,841,820,,,,0,400,568,"3,880",80,33,1,500,335
20240831,30601,44,187,458,451,,,,0,210,435,"1,459",34,98,1,256,140
20240831,30602,187,194,939,932,,,,0,210,1002,"2,473",41,126,,,
20240831,30603,0,80,204,200,"1,640",,2,400,0,248,439,17,28,,,
20240831,30604,20,241,540,527,,,,0,400,683,"1,617",43,179,1,661,347
20240831,30605,0,270,890,875,0,2,,0,400,805,"1,425",42,133,1,238,202
20240831,30606,164,33,269,260,,,,0,400,335,411,21,44,,,
20240831,30607,0,100,302,297,"1,640",,2,400,0,256,573,18,43,1,373,275
20240831,30608,0,210,467,451,,,,0,400,370,988,26,33,,,
20240831,30609,0,79,400,392,,,,0,400,302,750,16,80,1,313,257
20240831,30610,,,252,249,,,,,,187,311,6,29,,,
20240831,30611,0,67,137,126,"1,968",,2,480,0,109,262,8,25,,,
20240831,30612,29,42,90,91,,,,,,69,240,4,11,,,
20240831,30701,56,56,409,407,,,,,,504,"1,206",32,74,1,737,390
20240831,30702,0,60,239,234,,,,0,400,250,251,20,30,1,517,281
20240831,30703,0,60,286,276,"1,640",,2,400,416,533,484,42,66,1,737,567
20240831,30704,0,38,173,173,,,,,,156,205,18,30,,,
20240831,30705,,,57,56,,,,,,123,76,4,7,1,542,341
20240831,30706,0,8,75,72,,,,0,448,96,93,8,23,,,
20240831,30707,0,27,80,79,,,,0,190,113,99,10,20,,,
20240831,30708,0,226,396,384,,,,,,224,"1,045",36,36,,,
20240831,30709,,,22,22,,,,,,34,29,2,2,,,
20240831,30710,0,19,53,53,,,,0,110,96,62,4,12,,,
20240831,30711,,,53,53,,,,0,114,88,62,2,11,,,
20240831,30712,18,0,69,69,,,,,,136,267,6,9,,,
20240831,30713,0,31,70,68,,,,,,85,100,2,10,,,
20240831,30714,0,54,151,148,,,,0,360,139,185,10,25,,,
20240831,40101,,,9,7,,,,,,19,"3,511",32,6,,,
20240831,40102,180,0,233,197,,,,,,265,"5,582",55,131,,,
20240831,40103,223,0,322,284,,,,,,454,"6,692",58,97,,,
20240831,40104,232,0,970,744,,,,,,"1,112","14,494",134,218,,,
20240831,40105,,,45,37,,,,,,79,686,11,13,,,
20240831,40106,,,19,17,,,,,,163,294,11,5,,,
20240831,40107,164,0,78,61,,,,,,218,"3,516",24,66,,,
20240831,40108,152,0,276,244,,,,,,467,"4,969",59,177,,,
20240831,40109,196,0,273,231,,,,,,180,"5,226",42,74,,,
20240831,40110,72,0,89,77,,,,,,162,"3,064",28,53,,,
20240831,40111,0,48,37,33,,,,,,67,270,9,19,,,
20240831,40112,308,0,285,247,,,,,,375,"10,411",95,82,,,
20240831,40113,,,1,1,,,,,,25,25,5,,,,
20240831,40114,,,4,4,,,,,,24,105,10,1,,,
20240831,40115,0,25,25,24,,,,,,105,103,7,19,,,
20240831,40116,,,5,7,,,,,,67,446,5,4,,,
20240831,40117,100,0,49,38,,,,,,171,"1,407",20,28,,,
20240831,40118,,,10,10,,,,,,39,194,6,3,,,
20240831,40119,,,68,64,,,,,,148,116,7,6,,,
20240831,40120,,,9,9,,,,,,57,67,8,5,,,
20240831,40121,44,0,106,95,,,,,,121,"1,180",6,33,,,
20240831,40122,152,0,151,136,,,,,,331,"5,590",42,101,,,
20240831,40123,88,0,59,51,,,,,,130,"1,770",22,13,,,
20240831,40124,56,0,31,28,,,,,,52,"1,168",14,36,,,
20240831,40125,24,0,24,22,,,,,,65,278,10,11,,,
20240831,40126,,,3,3,,,,,,14,954,7,,,,
20240831,40127,,,12,10,,,,,,45,534,6,,,,
20240831,40128,322,59,392,315,,,,,,406,"4,479",39,82,,,
20240831,40129,,,36,23,,,,,,66,"3,583",22,11,,,
20240831,40201,,,38,35,,,,,,137,"2,592",16,33,,,
20240831,40202,40,0,35,32,,,,,,84,369,6,19,,,
20240831,40203,0,140,59,51,,,,,,27,"1,542",12,5,,,
20240831,40204,52,0,100,98,,,,,,152,776,10,34,,,
20240831,40205,100,0,56,53,,,,,,128,707,9,36,,,
20240831,40206,,,29,26,,,,,,126,488,14,11,,,
20240831,40207,,,5,4,,,,,,8,165,2,1,,,
20240831,40208,98,0,128,118,,,,,,288,"1,961",26,69,,,
20240831,40301,,,78,68,,,,,,99,883,5,15,,,
20240831,40302,,,37,31,,,,,,84,882,15,15,,,
20240831,40303,,,45,41,,,,,,63,711,6,21,,,
20240831,40304,,,2,2,,,,,,25,100,5,,,,
20240831,40305,,,51,41,,,,,,63,492,6,9,,,
20240831,40306,,,57,53,"1,640",,2,400,0,92,63,8,,1,198,80
20240831,40307,0,29,67,55,,,,,,97,358,3,19,,,
20240831,40308,,,6,5,,,,,,47,647,12,4,,,
20240831,40309,0,101,25,22,,,,,,47,534,7,6,,,
20240831,40310,,,23,17,,,,,,58,297,4,3,,,
20240831,40311,,,6,7,,,,,,44,182,1,2,,,
20240831,40312,,,10,9,,,,,,70,359,12,3,,,
20240831,40313,,,24,19,,,,,,55,355,2,10,,,
20240831,40401,72,52,108,99,,,,,,311,"1,368",27,46,,,
20240831,40402,,,65,63,918,,2,400,0,141,142,6,4,,,
20240831,40403,,,4,3,,,,,,49,24,3,,,,
20240831,40404,,,110,105,3,1,,,,147,370,13,6,3,"1,671",685
20240831,40405,,,18,17,,,,,,55,128,5,5,,,
20240831,40406,,,41,39,,,,,,156,92,12,,,,
20240831,40407,16,0,7,6,,,,,,46,107,2,17,,,
20240831,40408,,,9,8,,,,,,107,59,5,5,,,
20240831,40409,,,85,80,,,,,,185,780,15,29,,,
20240831,40410,0,41,16,14,,,,,,115,270,8,12,,,
20240831,40411,,,1,1,,,,,,49,48,5,1,,,
20240831,40412,,,7,7,,,,,,22,9,2,,,,
20240831,40413,32,7,53,52,,,,,,157,640,24,19,,,
20240831,40414,,,12,12,,,,,,139,146,10,4,1,665,297
20240831,40501,120,0,56,53,,,,,,272,"1,136",10,22,1,438,126
